                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.7363,                  1.066,                0.90583,                0.94785,                 0.8659,                0.93862,                0.66394,                0.87663,                 1.2573,                 1.0852,              0.0017822,              0.0017822,              0.0017822
                     36,                0.81692,                 1.2875,                 1.0202,                0.53512,                0.87738,                0.62994,                0.45894,                0.96077,                  1.668,                 1.1661,              0.0017756,              0.0017756,              0.0017756
                     37,                 0.7419,                 1.1001,                0.96485,                0.53512,                0.87738,                0.62994,                0.45894,                0.96077,                  1.668,                 1.1661,               0.001769,               0.001769,               0.001769
                     38,                0.75266,                 1.1173,                0.96203,                0.41825,                 0.7619,                0.43898,                0.29296,                0.92997,                 2.0845,                 1.1378,              0.0017624,              0.0017624,              0.0017624
                     39,                0.79541,                 1.1128,                0.97799,                0.30246,                0.71429,                0.26597,                0.18816,                0.86533,                 2.8322,                  1.109,              0.0017558,              0.0017558,              0.0017558
                     40,                0.70764,                0.95307,                0.90463,                 0.2667,                0.66667,                0.25271,                0.19956,                0.74066,                 4.2764,                 1.0401,              0.0017492,              0.0017492,              0.0017492
                     41,                0.72485,                 1.0889,                 0.9773,                 0.2667,                0.66667,                0.25271,                0.19956,                0.74066,                 4.2764,                 1.0401,              0.0017426,              0.0017426,              0.0017426
                     42,                0.68172,                 0.9016,                0.93831,                 0.5159,                0.76124,                0.47701,                0.40203,                0.74694,                 3.0511,                 1.0166,               0.001736,               0.001736,               0.001736
                     43,                0.74932,                0.96574,                0.94529,                0.50854,                0.71429,                0.55026,                0.42854,                 0.8518,                  2.564,                 1.1166,              0.0017294,              0.0017294,              0.0017294
                     44,                0.83149,                 1.0921,                 1.0027,                0.43624,                0.52381,                0.34185,                0.25707,                0.90852,                 2.7156,                 1.1453,              0.0017228,              0.0017228,              0.0017228
                     45,                0.74276,                 1.0491,                0.96008,                0.43624,                0.52381,                0.34185,                0.25707,                0.90852,                 2.7156,                 1.1453,              0.0017162,              0.0017162,              0.0017162
                     46,                0.78454,                 1.0496,                0.96197,                 0.4243,                0.49177,                0.49923,                0.33131,                 1.1586,                 2.4938,                 1.3365,              0.0017096,              0.0017096,              0.0017096
                     47,                0.79775,                0.90423,                0.93573,                0.61436,                0.61905,                0.57774,                0.43101,                 1.1104,                 2.0158,                 1.2384,               0.001703,               0.001703,               0.001703
                     48,                0.88297,                 1.0709,                 1.0239,                0.97852,                0.61905,                0.66067,                0.51132,                0.97437,                 1.6151,                 1.1733,              0.0016964,              0.0016964,              0.0016964
                     49,                0.81327,                0.97725,                 1.0142,                0.97852,                0.61905,                0.66067,                0.51132,                0.97437,                 1.6151,                 1.1733,              0.0016898,              0.0016898,              0.0016898
                     50,                0.71782,                0.93677,                0.95474,                      1,                0.56603,                0.63042,                0.51385,                0.92477,                 1.6022,                 1.1339,              0.0016832,              0.0016832,              0.0016832
